,Date,Tweet Id,Content,Username,LikeCount,retweetCount,source
29,2023-03-22 12:51:11+00:00,1638523716861566977,https://t.co/M5T4Y8YCOo,LilNasX,23281,2417,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
30,2023-03-22 03:50:16+00:00,1638387593682321411,@upblissed 😭😭😭,LilNasX,5326,24,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
31,2023-03-21 16:31:59+00:00,1638216896003579912,"y’all have to stop these accusations, i love the queers, i know of phoebe bridgers, my cousin watches glee and i have multiple wendy williams memes on my phone",LilNasX,89194,3092,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
32,2023-03-21 00:42:59+00:00,1637978071473987595,i love the genre of porn where people get stuck in the window and/or washing machine. it’s so silly and fun,LilNasX,35620,1448,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
33,2023-03-21 00:16:36+00:00,1637971433027428352,"goodbye lgbt community, we had a great run. 💓",LilNasX,352419,15222,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
34,2023-03-20 19:18:12+00:00,1637896337738833923,"um, thats not..",LilNasX,78498,1755,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
35,2023-03-20 15:06:26+00:00,1637832979106918400,@SEElNGGREEN yes 💙,LilNasX,1883,36,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
36,2023-03-20 03:09:51+00:00,1637652645614632960,"te amo argentina 🇦🇷 

con todo mi corazón 🫀",LilNasX,49458,3065,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
37,2023-03-19 21:01:33+00:00,1637559958517448705,i wouldnt want you if we were the last 2 people on earth and god put an ar 15 with a hundred round drum to my head telling me to repopulate with you,LilNasX,264515,14012,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
38,2023-03-18 20:15:52+00:00,1637186074559512576,@Saweetie 💙💙,LilNasX,829,10,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
39,2023-03-18 19:32:32+00:00,1637175172200292358,batty bwoi 😶‍🌫️ https://t.co/vsZVNrQLRA,LilNasX,28270,1311,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
40,2023-03-18 15:45:52+00:00,1637118129850523648,@lilahv 😭,LilNasX,2567,7,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
41,2023-03-18 15:42:57+00:00,1637117393523691521,oh no guys it’s the estrogen expert,LilNasX,130995,4869,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
